Course Name,Course Acronym,Course Code,Prerequisites,Antirequisites,Semester,,,
Statistical Machine Learning,SML,ECE356,CSE101;MTH201,PatternRecognition,Winter,,,
Statistical Machine Learning,SML,ECE556,CSE101;MTH201,PatternRecognition,Winter,,,
Computer Vision,CV,CSE344,MTH100,None,Winter,,,
Computer Vision,CV,CSE544,MTH100,None,Winter,,,
Computer Vision,CV,ECE344,MTH100,None,Winter,,,
Computer Vision,CV,ECE544,MTH100,None,Winter,,,
Foundations of Computer Security,FCS,CSE345,None,None,Monsoon,,,
Foundations of Computer Security,FCS,CSE545,None,None,Monsoon,,,
Network Security,NSC,CSE350,None,None,Monsoon,,,
Network Security,NSC,CSE550,None,None,Monsoon,,,
Networks and System Security II,NSS-II,CSE354,CSE231;CSE232,None,Winter,,,
Networks and System Security II,NSS-II,CSE554,CSE231;CSE232,None,Winter,,,
Complexity Theory,CMPT,CSE421,CSE102;MTH201;CSE322;CSE121,None,Monsoon,,,
Advanced Biometrics,BIOM,CSE441,CSE343;ECE563,None,Winter,,,
Designing Human Centered Systems,DHCS,CSE501,None,DES204,Monsoon,,,
Foundations of Parallel Programming,FPP,CSE502,CSE101;CSE102;CSE201,None,Winter,,,
Program Analysis,PA,CSE503,CSE102;CSE201,None,Monsoon,,,
Decision Procedures,DP,CSE504,C;C++;Java programming; Basic discrete math and logic,None,Monsoon,,,
Data Mining,DMG,CSE506,CSE202;CSE101;MTH100;MTH201,None,Monsoon,,,
Database System Implementation,DBSI,CSE507,CSE202;CSE102,None,Monsoon,,,
Information Retrieval,IR,CSE508,CSE102;CSE201;CSE202,None,Winter,,,
Computer Architecture,CA,CSE511,None,None,Monsoon,,,
Bayesian Machine Learning,BML,CSE515,MTH201,None,Monsoon,,,
Theories of Deep Learning,TDL,CSE516,MTH100;MTH203;CSE343;CSE342,None,Winter,,,
Randomized Algorithms,RA,CSE523,CSE222;CSE121;MTH201,None,Monsoon,,,
Theory of Modern cryptography,TMC,CSE524,CSE121;MTH210,None,Monsoon,,,
Introduction to Graduate Algorithms,GA,CSE525,CSE222,None,Monsoon,,,
Introduction to Blockchain and Cryptocurrency,IBC,CSE528,CSE546,None,Winter,,,
Approximation Algorithms,AAG,CSE529,CSE222,None,Winter,,,
Distributed Systems: Concepts & Design,DSCD,CSE530,CSE231;Java;Scala;Go;Python,None,Winter,,,
Multi-Agent Systems,MAS,CSE531,None,None,Monsoon/Winter,,,
Mobile Computing,MC,CSE535,CSE101,None,Monsoon,,,
Wireless Networks,WN,CSE538,CSE232,None,Winter,,,
Applied Cryptography,AC,CSE546,CSE121,None,Monsoon/Winter,,,
Security Engineering,SE,CSE552,CSE231,None,Monsoon/Winter,,,
Introduction to Spatial Computing,ISC,CSE555,CSE102;CSE202,None,Monsoon,,,
Natural Language Processing,NLP,CSE556,CSE101;MTH201;CSE222,None,Winter,,,
Big Data Analytics,BDA,CSE557,CSE202,None,Winter,,,
Data Science,DSc,CSE558,CSE101,None,Monsoon,,,
Mining Large Networks,MLN,CSE559,CSE222;CSE101;MTH201,None,Winter,,,
GPU Computing,GPU,CSE560,CSE101,None,Winter,,,
Probabilistic Graphical Models,PGM,CSE561,MTH201,None,Winter,,,
Advanced Computer Vision,ACV,CSE562,CSE344;CSE544;ECE344;ECE544,None,Monsoon,,,
Multimedia Computing and Applications,MCA,CSE563,None,None,Winter,,,
Software Defined Networking,SDN,CSE565,CSE232,None,Monsoon,,,
Mobile and Middleware Systems,MMS,CSE566,CSE535,None,Monsoon,,,
Virtual Reality,VR,CSE570,None,None,Winter,,,
Introduction to Media Computing,IMC,CSE571,None,None,Monsoon/Winter,,,
Speech and Audio Processing,SAP,CSE572,MTH100;ECE250,None,Monsoon,,,
Smart Sensing for Internet of Things,SSIoT,CSE576,None,None,Monsoon,,,
Advanced Internet of Things,AIOT,CSE577,None,None,Winter,,,
Ontology Modeling,OM,CSE580,CSE102,None,Monsoon/Winter,,,
Systems Analysis, Design and Requirements Engineering,SADRE,CSE581,None,None,Winter,,
Software Production Evolution and Maintenance,SPEM,CSE582,None,None,Monsoon,,,
Software Development using Open Source,SDOS,CSE583,None,None,Monsoon,,,
Program Verification,PV,CSE584,CSE121;MTH210,None,Monsoon,,,
Geometry Processing,GP,CSE5GP,CSE101,None,Monsoon/Winter,,,
Object Oriented Programming and Design,OOPD,CSE600,None,None,Monsoon,,,
Compilers,CMP,CSE601,CSE101;CSE201;CSE102,None,Winter,,,
Knowledge Graphs in Practice,KG,CSE605,CSE508;CSE551,None,Monsoon,,,
Data Warehouse,DW,CSE606,CSE202,None,Winter,,,
Data Lifecycle Management,DLM,CSE606A,CSE343;ECE563,None,Monsoon,,,
Statistical Computation,SComp,CSE609,MTH201,None,Winter,,,
Introduction to Quantum Computing,IQC,CSE622,MTH100,None,Winter,,,
Advanced Operating Systems,AOS,CSE631,CSE231,None,Winter,,,
Semantic Web,Sweb,CSE632,CSE101;CSE202,None,Winter,,,
Robotics,IRob,CSE633,None,None,Winter,,,
Social Robotics,SR,CSE633A,None,None,Winter,,,
Communication Networks,COMN,CSE636,MTH201,None,Winter,,,
Collaborative Filtering,CF,CSE640,MTH100,None,Monsoon,,,
Advanced Machine Learning,AML,CSE642,MTH201;CSE343,None,Winter,,,
Artificial Intelligence,AI,CSE643,CSE102,None,Monsoon,,,
Privacy and Security in Online Social Media,PSOSM,CSE645,None,None,Winter,,,
Topics in Adaptive Cybersecurity,TAC,CSE651,CSE345,None,Monsoon,,,
Network Science,NS,CSE655,None,None,Winter,,,
Information Integration and Applications,IIA,CSE656,CSE202,None,Monsoon,,,
Trustworthy AI systems,TAIS,CSE660,CSE643;CSE343;ECE563;CSE342;CSE542,None,Winter,,,
Affective Computing,AFC,CSE661,CSE101;CSE102;CSE201,None,Monsoon,,,
Special Topics in Computer Vision,SCV,CSE662A,ECE350,None,Winter,,,
Edge AI,EAI,CSE663,CSE343;CSE342,None,Winter,,,
Meta-Learning,MEL,CSE663A,CSE643;CSE343;ECE563;CSE641,None,Winter,,,
Multimedia Security,MS,CSE694F,ECE350,None,Winter,,,
Topics in Software Engineering: AI in SE,TSE,CSE701,None,None,Monsoon,,,
Advanced Topics in Mobile Computing,ATMC,CSE734,CSE232,None,Winter,,,
Network Anonymity and Privacy,NAP,CSE749,None,None,Monsoon,,,
Topics in Cryptanalysis,TC,CSE653,None,None,Winter,,,
Design Drawing & Visualization,DDV,DES101,None,None,Winter,,,
Introduction to HCI,IHCI,DES102,None,None,Winter,,,
Prototyping Interactive Systems,PIS,DES130,None,None,Monsoon,,,
Design Processes and Perspectives,DPP,DES201,DDV,None,Monsoon,,,
Visual Design & Communication,VDC,DES202,DES101,None,Monsoon,,,
Human Computer Interaction,HCI,DES204,None,CSE501,Winter,,,
Design of Interactive Systems,DIS,DES205,None,None,Monsoon,,,
Introduction to Animation and Graphics,IAG,DES302,None,Animation & Graphics,Monsoon,,,
Film Making and Radio Podcasting,FMRP,DES303,None,None,Monsoon,,,
Fundamentals of Audio for Engineers,FAE,DES501,None,None,Monsoon,,,
Introduction to 2D Animation,I2D,DES502,None,None,Winter,,,
Introduction to 3D Character Animation,I3DA,DES503,DES302,None,Winter,,,
Narratives in Visual Communication,NVC,DES504,None,None,Winter,,,
Advanced topics in Human Centered Computing (ATHCC),ATHCC,DES506,DES204,None,Winter,,,
Meta-Learning,MTL,CSE618,ECE363;ECE563;CSE343;CSE342;CSE542;ECE356;ECE556;CSE642;ECE553;CSE641,None,Monsoon,,,
Design Futures,DF,DES509,DES519,None,Monsoon,,,
Game Design and Development,GDD,DES512,None,None,Winter,,,
Wearable Applications, Research, Devices, Interactions,WARDI,DES513,None,None,Monsoon
Digital Audio & Video Production Workflow,DAVP,DES514,None,Digital Audio,Monsoon,,,
Information Systems in Public Health,ISPR,DES515,None,None,Monsoon,,,
Introduction to 3D Production Design for Animation and Games,I3DD,DES516,None,None,Monsoon,,,
Introduction to 3D Animation,I3D,DES516s,None,DES302,Winter,,,
Introduction to Motion Graphics,IMG,DES518,None,None,Monsoon,,,
Human Centred AI,HCAI,DES520,DES204;CSE643;CSE343;ECE563;CSE440,None,Monsoon,,,
Fundamentals of Video for Engineers,FVE,DES521,None,None,Winter,,,
Inclusive Design, Universal Design & Accessibility,IDUDA,DES522,DES201,None,Monsoon,,
Digital Circuits,DC,ECE111,None,None,Monsoon,,,
Basic Electronics,BE,ECE113,None,None,Winter,,,
Integrated Electronics,IE,ECE214,ECE111;ECE113;DES130,None,Winter,,,
Circuit Theory and Devices,CTD,ECE215,None,None,Monsoon,,,
Fields and Waves,F&W,ECE230,MTH203,None,Winter,,,
Principles of Communication Systems,PCS,ECE240,ECE250;MTH201,None,Winter,,,
Signals and Systems,S&S,ECE250,MTH100,None,Monsoon,,,
Embedded Logic Design,ELD,ECE270,None,None,Monsoon,,,
Digital VLSI Design,DVD,ECE314,None,None,Monsoon,,,
Analog CMOS Circuit Design,CMOS,ECE315,None,None,Monsoon,,,
Solid State Devices,SSD,ECE318,None,None,Monsoon,,,
RF Circuit Design,RFCD,ECE321,ECE230,None,Winter,,,
Digital Communication Systems,DCS,ECE340,ECE240,None,Monsoon,,,
Mobile Communications,MCOM,ECE343,ECE240,None,Winter,,,
Digital Signal Processing,DSP,ECE351,ECE250,None,Monsoon,,,
Machine Learning,ML,ECE363,MTH100;MTH201;CSE101;MTH203,None,Monsoon/Winter,,,
Mixed Signal Design,MSD,ECE412,ECE315,None,Winter,,,
Antennas Theory and Design,ATD,ECE431,ECE230,None,Monsoon,,,
Radar Systems,RS,ECE432,ECE250,None,Winter,,,
Statistical Signal Processing,SSP,ECE452,MTH100;MTH201;ECE250,None,Winter,,,
Probability and Random Process,PRP,ECE501,ECE240,None,Monsoon,,,
Digital Hardware Design,DHD,ECE510,ECE270,None,Monsoon,,,
VLSI Design Flow,VDF,ECE513,ECE101,None,Monsoon,,,
System on Chip Design and Test,SCDT,ECE516,ECE314;CSE234,None,Monsoon,,,
Introduction to Nanoelectronics,INE,ECE517,None,None,Winter,,,
Intelligent Applications Implementation on Heterogeneous Platforms,IAI,ECE519,CSE112,None,Monsoon,,,
Low Voltage Analog Circuit Design,LVACD,ECE520,ECE315,None,Monsoon,,,
Integrated Circuit Fabrication,ICF,ECE522,None,None,Monsoon,,,
Quantum Materials and Devices,QMD,ECE524,None,None,Monsoon,,,
Optical Fiber Networks for Industry 4.0,OFNI,ECE532,None,ECE532,Monsoon,,,
Satellite Navigation and Sensor Fusion,SNSF,ECE533,ECE351,None,Monsoon,,,
Optical Communications Systems,OCS,ECE534,ECE240,None,Winter,,,
Optical Networking,ON,ECE536s,None,None,Summer,,,
Wireless Communication Evolution from 3G to 5G,WCE,ECE537,ECE240,None,Winter,,,
Wireless System Implementation,WSI,ECE539,ECE240,None,Winter,,,
Principals of Digital Communication System,PDCS,ECE543,ECE240,None,Monsoon,,,
Photonics: Fundamentals & Applications,Pho,ECE545,ECE230,None,Monsoon,,,
Optical and Wireless Convergence for Beyond 5G Networks and IoT,OWC,ECE546,None,None,Monsoon,,,
Deep Learning,DL,ECE553,None,None,Winter,,,
Compressive Sensing,CS,ECE554,MTH100,None,Monsoon,,,
Speech Recognition and Understanding,SRU,ECE557,ECE250,None,Winter,,,
Transform Learning and Applications,TLA,ECE558,MTH100,ECE362,Winter,,,
Modeling and Analysis of Random 5G Networks,5GN,ECE55G,MTH201,None,Winter,,,
Data Processing and Management,DPM,ECE560,None,Advanced Programming (CSE201),Monsoon,,,
Reinforcement Learning,RL,ECE564,MTH201,None,Monsoon,,,
Linear Systems Theory,LST,ECE570,None,Control Theory (ECE570),Monsoon,,,
Optimal Control Systems,OCNS,ECE571,None,None,Winter,,,
Advanced Embedded Logic Design,AELD,ECE573,CSE234,None,Winter,,,
Machine Learning Techniques for Real-time Control,MLRC,ECE577,None,None,Winter,,,
Nonlinear and Adaptive Control of Robotic Systems,NLR,ECE579,None,None,Monsoon,,,
Autonomous Driving,AD,ECE581,None,None,Winter,,,
Memory Design and Testing,MDT,ECE611,ECE111;ECE113,None,Winter,,,
Stochastic Estimation and Control,SEC,ECE672,ECE501,None,Winter,,,
Macroeconomics,MA,ECO333,None,None,Monsoon,,,
Econometrics I,ECO,ECO221,MTH201,ECO302,Monsoon,,,
Money and Banking,MB,ECO223,None,None,Winter,,,
Introduction to Economic Analysis,IEA,ECO301,None,None,Monsoon/Winter,,,
Microeconomics,ME,ECO301,None,ECO101,Winter,,,
Game Theory,GMT,ECO311,None,ECO304,Monsoon,,,
Industrial Organization,IO,ECO312,ECO101;ECO311,None,Winter,,,
Market Design,MD,ECO313,ECO311,None,Winter,,,
Behavioural Economics,BEco,ECO314,MTH201,None,Monsoon,,,
Econometrics II,Econ-2,ECO322,ECO221,None,Monsoon,,,
Spatial Statistics and Spatial Econometrics,SSSE,ECO324,ECO221,None,Winter,,,
Foundations of Finance,FF,ECO331,None,None,Monsoon,,,
Valuation and Portfolio Management,VPM,ECO332,None,None,Winter,,,
Derivatives and Risk Management,DRM,ECO333,ECO331;ECO332,None,Monsoon,,,
Markov Decision Processes,MDP,ECO341,MTH100;MTH201;MTH203,None,Monsoon,,,
Decision Theory,DT,ECO503,None,None,Monsoon,,,
Research Methods,RM,ENG599s,None,None,Winter,,,
Entrepreneurial Communication,EComm,ENT411,None,None,Monsoon,,,
Entrepreneurial Khichadi,EK,ENT412,None,None,Monsoon,,,
Entrepreneurial Finance,EF,ENT413,None,ECO331,Winter,,,
Relevance of Intellectual Property for Startups,RIPS,ENT414,None,None,Winter,,,
New Venture Planning,NVP,ENT415,None,None,Winter,,,
Creativity, Innovation, and Inventive Problem Solving,CIIPS,ENT416,None,None,Winter,
Healthcare Innovation and Entrepreneurship Essentials,HIEE,ENT421,None,None,Monsoon,,,
Environmental Sciences,EVS,ESC205,None,ESC207A,Monsoon,,,
Ecology, Evolution, and Environment,EEE,ESC207A,None,ESC205,Monsoon,
Effective Supply Chain for E Commerce,ESCM,MGT310,None,None,Monsoon,,,
Emerging Issues in IT Management,EIITM,MGT311,None,None,Winter,,,
Linear Algebra,M-I,MTH100,None,None,Monsoon,,,
Probability and Statistics,P&S,MTH201,None,None,Winter,,,
Multivariate Calculus,M-III,MTH203,None,MTH240,Monsoon,,,
Mathematics IV,M-IV,MTH204,MTH203,None,Winter,,,
Discrete Structures,DS,MTH210,None,CSE121,Monsoon,,,
Number Theory,NT,MTH211,None,None,Monsoon,,,
Abstract Algebra I,AA-I,MTH212,None,MTH302,Winter,,,
Real Analysis I,RA-I,MTH240,None,MTH203,Monsoon,,,
Numerical Methods,NM,MTH270,MTH100;MTH204,None,Monsoon/Winter,,,
Introduction to Mathematical Logic,IML,MTH300,None,None,Winter,,,
Algebra,ALG,MTH302,None,MTH212,Monsoon,,,
Graph Theory,GT,MTH310,None,None,Winter,,,
Combinatorics and its Applications,CIA,MTH311,MTH100,None,Winter,,,
Real Analysis-II,RA-II,MTH340,MTH240,None,Monsoon,,,
Complex Analysis,CmpA,MTH341,MTH240,None,Monsoon,,,
Introduction to Dynamical Systems,IDS,MTH343,MTH100;MTH203;MTH240,None,Winter,,,
Stochastic Processes and Applications,SPA,MTH371,MTH201,None,Monsoon,,,
Statistical Inference,SI,MTH372,MTH201,CSE609,Winter,,,
Scientific Computing,SC,MTH373,MTH100,MTH270,Monsoon,,,
Linear Optimization,LO,MTH374,MTH100,MTH305,Winter,,,
Fluid Mechanics,FM,MTH375,MTH204,None,Monsoon,,,
Advanced Linear Algebra,ALA,MTH510,MTH100,None,Winter,,,
Algebraic Number Theory,ANT,MTH512,None,None,Monsoon,,,
Abstract Algebra II,AA-II,MTH513,MTH100;MTH212,None,Winter,,,
Coding Theory,COT,MTH514,MTH211;MTH212,None,Winter,,,
Analytic Number Theory,ANNT,MTH516,MTH341,None,Winter,,,
Combinatorial Optimization,CMO,MTH517,MTH374,None,Winter,,,
...,,,,,,,,
